Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,82.54,179.56,7.00,15.46,22.47,52.61,2.73,1.15,10.45,2.86,3.46,NA,NA,1.96,0.52,NA,95.64,0.09,268.36,0.00,0.00,105.70,NA,NA
2022-01-01 01:00:00,84.45,185.87,6.33,13.78,20.11,49.64,2.80,1.15,9.86,2.65,3.30,NA,NA,1.88,0.52,NA,95.82,0.10,184.98,0.00,0.00,106.75,NA,NA
2022-01-01 02:00:00,80.69,178.22,4.74,14.02,18.76,48.94,2.91,1.12,10.41,2.69,3.41,NA,NA,1.80,0.38,NA,95.65,0.11,204.51,0.00,0.00,107.05,NA,NA
2022-01-01 03:00:00,80.44,175.72,3.97,12.50,16.47,44.81,2.82,1.07,10.23,2.58,3.30,NA,NA,1.82,0.56,NA,95.89,0.21,198.40,0.00,0.00,108.88,NA,NA
2022-01-01 04:00:00,83.78,170.44,3.10,12.38,15.48,44.63,2.90,1.05,10.41,2.53,3.32,NA,NA,1.75,0.54,NA,95.80,0.47,237.24,0.00,0.00,112.48,NA,NA
2022-01-01 05:00:00,81.41,161.43,3.22,11.94,15.16,43.22,2.96,1.03,10.47,2.45,3.30,NA,NA,1.74,0.27,NA,95.57,0.12,180.33,0.00,0.00,110.25,NA,NA
2022-01-01 06:00:00,78.70,158.71,3.24,12.06,15.30,43.54,2.93,1.04,9.85,2.49,3.20,NA,NA,1.55,0.11,NA,95.36,0.28,295.76,0.00,0.00,112.15,NA,NA
2022-01-01 07:00:00,75.42,163.51,3.78,12.23,16.00,44.64,2.94,1.04,10.22,2.55,3.26,NA,NA,1.64,0.57,NA,95.45,0.38,298.80,0.00,0.00,126.45,NA,NA
2022-01-01 08:00:00,77.31,173.60,3.66,14.79,18.46,47.18,3.07,1.13,10.88,2.73,3.24,NA,NA,1.63,0.86,NA,95.60,0.41,282.73,0.00,0.00,173.05,NA,NA
2022-01-01 09:00:00,89.25,193.31,3.29,15.61,18.90,47.01,4.49,1.21,12.14,2.97,3.27,NA,NA,1.64,0.49,NA,95.31,0.44,288.85,0.00,0.00,186.15,NA,NA
2022-01-01 10:00:00,106.48,212.34,2.88,15.75,18.64,46.65,5.41,1.25,16.27,3.14,3.17,NA,NA,1.57,0.38,NA,90.98,0.47,304.38,0.00,0.00,244.08,NA,NA
2022-01-01 11:00:00,117.90,225.48,2.19,15.40,17.60,46.92,5.26,1.23,23.04,3.27,3.04,NA,NA,1.51,0.42,NA,76.00,0.62,282.54,0.00,0.00,282.52,NA,NA
2022-01-01 12:00:00,114.08,221.30,1.71,14.29,16.00,44.64,5.19,1.13,32.54,3.08,2.96,NA,NA,1.42,0.23,NA,58.26,0.54,287.05,0.00,0.00,340.52,NA,NA
2022-01-01 13:00:00,105.99,203.67,1.61,12.44,14.04,42.18,5.18,1.08,36.18,2.90,2.70,NA,NA,1.18,0.45,NA,47.88,0.62,288.55,0.00,0.00,118.20,NA,NA
2022-01-01 14:00:00,95.44,181.73,2.50,11.81,14.30,42.64,5.54,1.05,36.00,2.62,2.48,NA,NA,1.10,0.51,NA,44.54,0.56,276.00,0.00,0.00,125.48,NA,NA
2022-01-01 15:00:00,88.27,161.12,1.32,12.45,13.76,42.65,4.62,0.96,36.36,2.62,2.68,NA,NA,1.17,0.41,NA,43.60,0.59,276.21,0.00,0.00,117.95,NA,NA
2022-01-01 16:00:00,80.04,138.21,2.23,15.02,17.25,46.57,4.24,1.01,23.62,2.46,2.54,NA,NA,1.12,0.46,NA,55.15,0.24,234.46,0.00,0.00,105.40,NA,NA
2022-01-01 17:00:00,72.97,131.54,2.86,16.54,19.40,49.31,3.88,1.04,13.42,2.52,2.84,NA,NA,1.24,0.48,NA,79.72,0.14,310.58,0.00,0.00,101.20,NA,NA
2022-01-01 18:00:00,71.31,137.40,4.00,17.58,21.59,51.77,3.67,1.08,11.63,2.56,2.95,NA,NA,1.32,0.85,NA,92.50,0.17,211.98,0.00,0.00,96.72,NA,NA
2022-01-01 19:00:00,73.72,153.45,4.37,16.13,20.50,53.03,3.47,1.13,10.86,2.75,3.17,NA,NA,1.52,0.62,NA,95.02,0.42,259.28,0.00,0.00,96.25,NA,NA
2022-01-01 20:00:00,83.91,174.46,4.56,17.53,22.09,53.00,3.16,1.21,11.23,2.83,3.32,NA,NA,1.62,0.72,NA,95.44,0.16,226.52,0.00,0.00,99.32,NA,NA
2022-01-01 21:00:00,91.76,185.91,4.81,17.42,22.23,54.17,3.20,1.25,10.56,2.87,3.59,NA,NA,1.80,0.13,NA,95.51,0.12,284.16,0.00,0.00,98.62,NA,NA
2022-01-01 22:00:00,90.52,196.71,4.30,15.80,20.10,50.53,3.10,1.29,10.29,2.92,3.65,NA,NA,1.98,0.90,NA,95.64,0.11,147.43,0.00,0.00,103.20,NA,NA
2022-01-01 23:00:00,90.90,205.83,4.06,15.32,19.39,48.49,3.03,1.27,10.38,2.94,3.78,NA,NA,1.93,0.51,NA,95.73,0.11,171.23,0.00,0.00,104.40,NA,NA
2022-01-02 00:00:00,89.25,202.59,4.11,14.42,18.53,48.26,2.95,1.22,9.98,2.86,3.74,NA,NA,1.95,0.96,NA,95.64,0.14,215.22,0.00,0.00,105.85,NA,NA
2022-01-02 01:00:00,88.71,198.31,3.99,13.71,17.70,46.08,2.82,1.17,10.26,2.92,3.67,NA,NA,1.92,0.31,NA,95.77,0.24,269.79,0.00,0.00,106.42,NA,NA
2022-01-02 02:00:00,92.18,181.80,3.42,13.10,16.53,46.19,2.84,1.15,10.10,2.80,3.59,NA,NA,1.86,0.70,NA,95.74,0.15,268.61,0.00,0.00,108.38,NA,NA
2022-01-02 03:00:00,88.89,169.03,2.41,12.49,14.90,41.34,2.67,1.07,10.61,2.77,3.46,NA,NA,1.74,1.01,NA,95.70,0.18,244.14,0.00,0.00,110.20,NA,NA
2022-01-02 04:00:00,84.07,164.20,3.08,12.08,15.16,43.67,2.86,1.06,10.70,2.70,3.39,NA,NA,1.58,0.67,NA,95.86,0.19,259.16,0.00,0.00,108.72,NA,NA
2022-01-02 05:00:00,83.05,159.23,2.79,11.67,14.46,41.39,2.76,1.04,10.21,2.70,3.26,NA,NA,1.55,1.16,NA,95.92,0.19,257.07,0.00,0.00,110.55,NA,NA
2022-01-02 06:00:00,83.76,158.61,3.94,11.40,15.34,43.08,2.87,1.04,9.69,2.61,3.26,NA,NA,1.53,0.58,NA,95.83,0.14,241.70,0.00,0.00,111.82,NA,NA
2022-01-02 07:00:00,88.18,170.67,4.56,12.40,16.97,45.30,2.86,1.04,10.80,2.72,3.30,NA,NA,1.50,0.70,NA,95.66,0.22,222.12,0.00,0.00,121.05,NA,NA
2022-01-02 08:00:00,91.19,191.32,5.60,14.39,19.98,47.82,2.78,1.18,10.40,2.92,3.27,NA,NA,1.56,0.69,NA,95.71,0.27,218.50,0.00,0.00,180.82,NA,NA
2022-01-02 09:00:00,106.13,215.97,5.05,15.55,20.60,47.91,4.11,1.24,13.13,3.22,3.32,NA,NA,1.64,0.55,NA,93.42,0.42,310.70,0.00,0.00,188.72,NA,NA
2022-01-02 10:00:00,121.53,241.78,1.56,20.20,21.76,46.30,11.90,1.28,53.61,3.62,2.53,NA,NA,1.54,0.38,NA,72.96,0.45,327.90,0.00,0.00,252.98,NA,NA
2022-01-02 11:00:00,122.50,242.11,0.80,16.98,17.77,39.54,11.28,1.08,79.95,3.05,1.22,NA,NA,0.84,0.33,NA,55.39,0.53,296.28,0.00,0.00,264.25,NA,NA
2022-01-02 12:00:00,112.82,230.82,0.96,16.16,17.12,39.87,10.40,0.88,95.06,2.80,1.06,NA,NA,0.46,0.09,NA,52.68,0.64,286.40,0.00,0.00,306.73,NA,NA
2022-01-02 13:00:00,102.80,211.86,0.99,14.22,15.21,39.03,9.73,0.82,100.86,2.30,0.98,NA,NA,0.22,0.09,NA,49.03,0.59,302.22,0.00,0.00,141.62,NA,NA
2022-01-02 14:00:00,92.12,188.96,1.91,15.60,17.52,40.88,10.67,0.82,119.52,2.08,0.88,NA,NA,0.21,0.03,NA,45.17,0.42,306.11,0.00,0.00,130.10,NA,NA
2022-01-02 15:00:00,90.30,181.41,1.48,19.31,20.78,48.20,8.00,0.96,60.22,2.70,1.18,NA,NA,0.31,0.22,NA,50.20,0.43,320.54,0.00,0.00,124.22,NA,NA
2022-01-02 16:00:00,93.32,181.71,1.76,16.20,17.96,46.55,5.10,0.99,24.98,2.74,1.44,NA,NA,0.73,0.18,NA,58.84,0.31,298.45,0.00,0.00,107.12,NA,NA
2022-01-02 17:00:00,90.98,180.86,2.38,22.50,24.88,55.38,4.37,1.02,15.41,2.81,1.80,NA,NA,0.93,0.28,NA,80.35,0.25,272.95,0.00,0.00,93.72,NA,NA
2022-01-02 18:00:00,93.18,184.92,1.88,17.73,19.61,50.55,3.57,1.05,14.32,2.75,2.03,NA,NA,0.94,0.21,NA,85.37,0.42,266.69,0.00,0.00,95.75,NA,NA
2022-01-02 19:00:00,94.01,188.34,2.49,14.89,17.37,48.52,3.25,1.07,11.38,2.89,2.22,NA,NA,1.03,0.30,NA,92.53,0.32,256.86,0.00,0.00,96.45,NA,NA
2022-01-02 20:00:00,93.77,187.52,3.38,19.37,22.75,53.67,3.24,1.13,11.32,2.80,2.55,NA,NA,1.08,0.32,NA,95.24,0.17,298.32,0.00,0.00,98.98,NA,NA
2022-01-02 21:00:00,95.82,189.51,3.31,16.63,19.94,51.13,3.20,1.16,10.92,2.83,2.67,NA,NA,1.22,0.64,NA,95.36,0.20,235.34,0.00,0.00,100.10,NA,NA
2022-01-02 22:00:00,95.30,189.18,3.09,15.21,18.30,50.10,3.16,1.18,10.72,2.97,2.81,NA,NA,1.26,0.48,NA,95.64,0.15,288.26,0.00,0.00,101.28,NA,NA
2022-01-02 23:00:00,96.27,191.48,5.13,15.65,20.78,52.93,3.30,1.20,10.70,3.00,2.96,NA,NA,1.32,0.54,NA,95.46,0.11,277.86,0.00,0.00,101.53,NA,NA
2022-01-03 00:00:00,98.74,193.03,4.51,15.00,19.52,50.72,3.45,1.19,10.28,2.94,2.99,NA,NA,1.31,0.31,NA,95.73,0.24,190.09,0.00,0.00,103.80,NA,NA
2022-01-03 01:00:00,93.92,182.08,2.92,13.62,16.51,46.43,3.46,1.14,10.81,2.84,3.02,NA,NA,1.30,0.71,NA,95.79,0.23,187.50,0.00,0.00,105.55,NA,NA
2022-01-03 02:00:00,84.75,168.94,2.85,12.93,15.78,46.53,3.60,1.11,10.15,2.75,3.12,NA,NA,1.33,0.30,NA,95.62,0.10,214.25,0.00,0.00,104.92,NA,NA
2022-01-03 03:00:00,82.20,158.29,3.14,12.80,15.94,46.10,3.33,1.04,9.92,2.70,3.18,NA,NA,1.30,0.33,NA,95.62,0.19,257.26,0.00,0.00,107.30,NA,NA
2022-01-03 04:00:00,80.81,152.94,2.85,11.60,14.44,43.95,3.56,1.03,10.08,2.59,3.01,NA,NA,1.20,0.45,NA,95.82,0.22,216.38,0.00,0.00,105.82,NA,NA
2022-01-03 05:00:00,76.86,149.69,3.42,12.53,15.94,46.17,3.56,0.98,10.20,2.55,3.06,NA,NA,1.22,1.38,NA,95.64,0.28,254.49,0.00,0.00,107.48,NA,NA
2022-01-03 06:00:00,71.80,145.46,3.14,13.11,16.25,44.92,3.51,0.95,10.58,2.45,3.04,NA,NA,1.20,0.84,NA,95.69,0.12,234.70,0.00,0.00,106.10,NA,NA
2022-01-03 07:00:00,68.97,141.65,3.14,12.68,15.82,45.58,3.52,0.98,10.20,2.38,2.87,NA,NA,1.07,0.83,NA,95.65,0.19,221.10,0.00,0.00,133.15,NA,NA
2022-01-03 08:00:00,76.52,151.76,3.75,13.20,16.95,43.38,3.45,0.98,10.34,2.47,2.96,NA,NA,1.14,0.68,NA,95.31,0.30,332.43,0.00,0.00,163.50,NA,NA
2022-01-03 09:00:00,86.18,172.34,3.18,15.72,18.90,48.98,4.26,1.06,12.77,2.56,2.96,NA,NA,1.16,0.62,NA,85.80,0.44,16.48,0.00,0.00,181.48,NA,NA
